taxonomy.name	D2000120	D2000121	D2000122	D2000123	D2000124	D2000125	D2000126	D2000127	D2000128	D2000129	D2000130	D2000131	D2000132	D2000134	D2000135	D2000137	D2000138	D2000139	D2000140	D2000141	D2000142	D2000143	D2000144	D2000145
                Stigmatella	36	37	47	21	38	193	59	447	66	127	93	75	103	90	153	19	37	463	170	125	48	407	116	12
                Streptacidiphilus	363	287	352	247	334	1295	329	691	497	1055	209	2345	454	373	2167	253	407	822	152	580	815	421	857	250
                Streptantibioticus	114	107	143	92	299	710	345	300	167	492	101	486	191	142	970	182	173	336	84	234	264	181	282	103
                Streptococcus	0	40	56	48	0	37	0	220	0	0	68	0	0	45	0	0	0	115	0	16	0	0	36	0
                Streptomonospora	214	89	172	144	196	972	124	580	187	875	149	496	234	244	1789	158	269	614	135	474	276	317	425	140
                Streptomyces	476762	444038	442938	230046	461713	1424867	388450	346871	210135	501389	149356	415892	581646	606527	1726093	638958	410320	280268	63384	520781	582540	341377	226138	504765
                Streptosporangium	932	366	1229	547	1654	10314	689	1625	447	2860	764	1986	1325	907	5310	1725	3351	1939	449	4661	1475	919	3105	2135
                Subdoligranulum	0	0	0	0	0	24	0	20	0	27	0	0	0	0	0	0	0	21	17	0	0	0	12	0
                Subtercola	69	53	102	87	164	377	137	395	162	386	177	429	152	110	891	61	83	608	79	144	277	321	470	61
                Suicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0
